window_start,raw,diffed,high_raw_H96,high_diffed_H96,high_raw_H192,high_diffed_H192,high_raw_H336,high_diffed_H336,high_raw_H720,high_diffed_H720
0,0.2705874074270159,0.10274127850767523,False,True,False,True,False,True,False,True
1,0.26991060747111956,0.10186153125671396,False,True,False,True,False,True,False,True
2,0.269665056782099,0.10136357891888323,False,True,False,True,False,True,False,True
3,0.26966944830832085,0.10137489024393931,False,True,False,True,False,True,False,True
4,0.26992512875329083,0.10170516251805406,False,True,False,True,False,True,False,True
5,0.2700801247997038,0.10125986529915083,False,True,False,True,False,True,False,True
6,0.269983892675161,0.10142396958064555,False,True,False,True,False,True,False,True
7,0.2699544462781812,0.10117203434368219,False,True,False,True,False,True,False,True
8,0.2702505563381248,0.1001282498876337,False,True,False,True,False,True,False,True
9,0.2705841435127164,0.09967985572600924,False,True,False,True,False,True,False,True
10,0.27054052169491377,0.09995548805582424,False,True,False,True,False,True,False,True
11,0.27011848493892004,0.10060824602371207,False,True,False,True,False,True,False,True
12,0.2695153595220433,0.10029630239712467,False,True,False,True,False,True,False,True
13,0.26943122170961564,0.1006035883986144,False,True,False,True,False,True,False,True
14,0.2694562724321792,0.10114490496721877,False,True,False,True,False,True,False,True
15,0.26913714256375326,0.09938918940336268,False,True,False,True,False,True,False,True
16,0.2687168008177602,0.09932163716908093,False,True,False,True,False,True,False,True
17,0.267776272444454,0.09894483535212417,False,True,False,True,False,True,False,True
18,0.2672619858034284,0.09824294473532265,False,True,False,True,False,True,False,True
19,0.26688878064729193,0.09901141959632598,False,True,False,True,False,True,False,True
20,0.26638742600263005,0.09904084218903969,False,True,False,True,False,True,False,True
21,0.26563641972380525,0.09886590192918329,False,True,False,True,False,True,False,True
22,0.26515446775031937,0.0987158925328118,False,True,False,True,False,True,False,True
23,0.2652266020276856,0.0980586934388399,False,True,False,True,False,True,False,True
24,0.2652013178096703,0.09782663515243616,False,True,False,True,False,True,False,True
25,0.2646345888468001,0.09759190068011876,False,True,False,True,False,True,False,True
26,0.2646309348053272,0.09809270005099592,False,True,False,True,False,True,False,True
27,0.26420061684378504,0.09742841683999724,False,True,False,True,False,True,False,True
28,0.26403344348965846,0.0973879772574093,False,True,False,True,False,True,False,True
29,0.2639829054349009,0.09747782288496928,False,True,False,True,False,True,False,True
30,0.26434240215255983,0.09809629308431037,False,True,False,True,False,True,False,True
31,0.26524690140103946,0.09707684265225414,False,True,False,True,False,True,False,True
32,0.26626946961562703,0.09632175071708612,False,True,False,True,False,True,False,True
33,0.2667491060911475,0.09696044869864498,False,True,False,True,False,True,False,True
34,0.2667120434790228,0.09741779450595986,False,True,False,True,False,True,False,True
35,0.26611070823617167,0.0969149283890774,False,True,False,True,False,True,False,True
36,0.2647932454966289,0.09623288954339151,False,True,False,True,False,True,False,True
37,0.2631935568570171,0.0966044912961055,False,True,False,True,False,True,False,True
38,0.2641352544601325,0.1020166846872123,False,True,False,True,False,True,False,True
39,0.26429039545864347,0.10517409706553658,False,True,False,True,False,True,False,True
40,0.2652044525629684,0.10494955788309646,False,True,False,True,False,True,False,True
41,0.2652749318647246,0.10486797911146925,False,True,False,True,False,True,False,True
42,0.265720048707841,0.1047185692456568,False,True,False,True,False,True,False,True
43,0.2661881363676645,0.1047637893397462,False,True,False,True,False,True,False,True
44,0.2664266408554143,0.10457628108080563,False,True,False,True,False,True,False,True
45,0.26643215445410945,0.10463556536283083,False,True,False,True,False,True,False,True
46,0.2667566567778566,0.10426121048983054,False,True,False,True,False,True,False,True
47,0.26635920362248583,0.10413562065443696,False,True,False,True,False,True,False,True
48,0.2653993110877647,0.10394598080693046,False,True,False,True,False,True,False,True
49,0.2649711784635374,0.1037863747908899,False,True,False,True,False,True,False,True
50,0.26426240014061503,0.10352617579247217,False,True,False,True,False,True,False,True
51,0.2634719258303518,0.1033277787775993,False,True,False,True,False,True,False,True
52,0.26254242395940547,0.10322561902690364,False,True,False,True,False,True,False,True
53,0.2623073473741454,0.10283761063299818,False,True,False,True,False,True,False,True
54,0.2621781728921612,0.10310176858675438,False,True,False,True,False,True,False,True
55,0.2618889791768598,0.10294917349946078,False,True,False,True,False,True,False,True
